size = 2030,
ITEM = {slot = 1, stringID = traptrack, amount = 1},
ITEM = {slot = 77, stringID = ascendedvoid, amount = 1},
ITEM = {slot = 78, stringID = bloodgobletspilled, amount = 1},
ITEM = {slot = 79, stringID = upgradestation, amount = 1},
ITEM = {slot = 80, stringID = rubystaff, amount = 1},
ITEM = {slot = 81, stringID = dryadbed, amount = 1},
ITEM = {slot = 82, stringID = coinpouch, amount = 1},
ITEM = {slot = 83, stringID = goldgridcarpet, amount = 1},
ITEM = {slot = 84, stringID = necroticsoulskull, amount = 1},
ITEM = {slot = 85, stringID = tungstenbow, amount = 1},
ITEM = {slot = 86, stringID = greenandpinkbooks, amount = 1},
ITEM = {slot = 87, stringID = clayrock, amount = 1},
ITEM = {slot = 88, stringID = quartzstaff, amount = 1},
ITEM = {slot = 89, stringID = pearlescentshard, amount = 1},
ITEM = {slot = 90, stringID = arachnidlegs, amount = 1},
ITEM = {slot = 91, stringID = pinebench, amount = 1},
ITEM = {slot = 92, stringID = flowerpot, amount = 1},
ITEM = {slot = 93, stringID = paintingdagger, amount = 1},
ITEM = {slot = 94, stringID = enchantingscroll, amount = 1},
ITEM = {slot = 95, stringID = ironoredeepsnowrock, amount = 1},
ITEM = {slot = 96, stringID = fountain, amount = 1},
ITEM = {slot = 97, stringID = oakdoublebed, amount = 1},
ITEM = {slot = 98, stringID = stabbybush, amount = 1},
ITEM = {slot = 99, stringID = cavebirchsapling, amount = 1},
ITEM = {slot = 100, stringID = cutter, amount = 1},
ITEM = {slot = 101, stringID = sandstonedoorlocked, amount = 1},
ITEM = {slot = 102, stringID = oakbookshelf, amount = 1},
ITEM = {slot = 103, stringID = sprucebookshelf, amount = 1},
ITEM = {slot = 104, stringID = sprucedoublebed, amount = 1},
ITEM = {slot = 105, stringID = swampcrate, amount = 1},
ITEM = {slot = 106, stringID = refractor, amount = 1},
ITEM = {slot = 107, stringID = birchmodulartable, amount = 1},
ITEM = {slot = 108, stringID = flour, amount = 1},
ITEM = {slot = 109, stringID = pinebathtub, amount = 1},
ITEM = {slot = 110, stringID = calmingminersbouquet, amount = 1},
ITEM = {slot = 111, stringID = paintingrainsun, amount = 1},
ITEM = {slot = 112, stringID = supporterboots, amount = 1},
ITEM = {slot = 113, stringID = willowchair, amount = 1},
ITEM = {slot = 114, stringID = cobweb, amount = 1},
ITEM = {slot = 115, stringID = brokenlimb, amount = 1},
ITEM = {slot = 116, stringID = sandsurfacerocksmall, amount = 1},
ITEM = {slot = 117, stringID = clockworkheart, amount = 1},
ITEM = {slot = 118, stringID = blueberryandcornextract, amount = 1},
ITEM = {slot = 119, stringID = elderhat, amount = 1},
ITEM = {slot = 120, stringID = runiccrown, amount = 1},
ITEM = {slot = 121, stringID = poisonarrow, amount = 1},
ITEM = {slot = 122, stringID = ancientfossilaxe, amount = 1},
ITEM = {slot = 123, stringID = toolbox, amount = 1},
ITEM = {slot = 124, stringID = voidbullet, amount = 1},
ITEM = {slot = 125, stringID = tnt, amount = 1},
ITEM = {slot = 126, stringID = cryptash, amount = 1},
ITEM = {slot = 127, stringID = raspberrypie, amount = 1},
ITEM = {slot = 128, stringID = liquidslimetile, amount = 1},
ITEM = {slot = 129, stringID = woodbow, amount = 1},
ITEM = {slot = 130, stringID = regenpendant, amount = 1},
ITEM = {slot = 131, stringID = antiquesword, amount = 1},
ITEM = {slot = 132, stringID = jestershirt, amount = 1},
ITEM = {slot = 133, stringID = willowtree, amount = 1},
ITEM = {slot = 134, stringID = spidercaverock, amount = 1},
ITEM = {slot = 135, stringID = dryadboots, amount = 1},
ITEM = {slot = 136, stringID = swampstonepressureplate, amount = 1},
ITEM = {slot = 137, stringID = diningset, amount = 1},
ITEM = {slot = 138, stringID = deepswampstonedoor, amount = 1},
ITEM = {slot = 139, stringID = forgottenblade, amount = 1},
ITEM = {slot = 140, stringID = grainmill, amount = 1},
ITEM = {slot = 141, stringID = cod, amount = 1},
ITEM = {slot = 142, stringID = stonefloor, amount = 1},
ITEM = {slot = 143, stringID = topazgravel, amount = 1},
ITEM = {slot = 144, stringID = unamusedmask, amount = 1},
ITEM = {slot = 145, stringID = dryadbow, amount = 1},
ITEM = {slot = 146, stringID = royalegg, amount = 1},
ITEM = {slot = 147, stringID = dungeonbed, amount = 1},
ITEM = {slot = 148, stringID = tungstenhelmet, amount = 1},
ITEM = {slot = 149, stringID = roastedfrogleg, amount = 1},
ITEM = {slot = 150, stringID = oldplate, amount = 1},
ITEM = {slot = 151, stringID = deepsnowstonedoorlocked, amount = 1},
ITEM = {slot = 152, stringID = deepsandstonedoor, amount = 1},
ITEM = {slot = 153, stringID = palmtree, amount = 1},
ITEM = {slot = 154, stringID = willowdoor, amount = 1},
ITEM = {slot = 155, stringID = brazier, amount = 1},
ITEM = {slot = 156, stringID = mesmertablet, amount = 1},
ITEM = {slot = 157, stringID = palmsapling, amount = 1},
ITEM = {slot = 158, stringID = rocklever, amount = 1},
ITEM = {slot = 159, stringID = vampiriclamp, amount = 1},
ITEM = {slot = 160, stringID = largeglobe, amount = 1},
ITEM = {slot = 161, stringID = fallenalchemytable, amount = 1},
ITEM = {slot = 162, stringID = copperore, amount = 1},
ITEM = {slot = 163, stringID = sandstonedoor, amount = 1},
ITEM = {slot = 164, stringID = riceseed, amount = 1},
ITEM = {slot = 165, stringID = deadwoodbench, amount = 1},
ITEM = {slot = 166, stringID = forbiddenspellbook, amount = 1},
ITEM = {slot = 167, stringID = swampgrasstile, amount = 1},
ITEM = {slot = 168, stringID = tungstenchestplate, amount = 1},
ITEM = {slot = 169, stringID = spideritearmorstand, amount = 1},
ITEM = {slot = 170, stringID = ammopouch, amount = 1},
ITEM = {slot = 171, stringID = stonearrow, amount = 1},
ITEM = {slot = 172, stringID = webbedgun, amount = 1},
ITEM = {slot = 173, stringID = voidcube, amount = 1},
ITEM = {slot = 174, stringID = willowlogbench, amount = 1},
ITEM = {slot = 175, stringID = stonewall, amount = 1},
ITEM = {slot = 176, stringID = deepicetile, amount = 1},
ITEM = {slot = 177, stringID = willowisplantern, amount = 1},
ITEM = {slot = 178, stringID = stylishflower, amount = 1},
ITEM = {slot = 179, stringID = duskhelmet, amount = 1},
ITEM = {slot = 180, stringID = swamproot, amount = 1},
ITEM = {slot = 181, stringID = godrod, amount = 1},
ITEM = {slot = 182, stringID = groundslime, amount = 1},
ITEM = {slot = 183, stringID = basaltpathtile, amount = 1},
ITEM = {slot = 184, stringID = snowrocktile, amount = 1},
ITEM = {slot = 185, stringID = dredgingstaff, amount = 1},
ITEM = {slot = 186, stringID = bashybush, amount = 1},
ITEM = {slot = 187, stringID = frosthood, amount = 1},
ITEM = {slot = 188, stringID = snowstonebrickfloor, amount = 1},
ITEM = {slot = 189, stringID = cryptgrass, amount = 1},
ITEM = {slot = 190, stringID = dryaddinnertable, amount = 1},
ITEM = {slot = 191, stringID = eggplantseed, amount = 1},
ITEM = {slot = 192, stringID = stonedoorlocked, amount = 1},
ITEM = {slot = 193, stringID = surgicalmask, amount = 1},
ITEM = {slot = 194, stringID = cryptnightsteelorerocksmall, amount = 1},
ITEM = {slot = 195, stringID = palmdoor, amount = 1},
ITEM = {slot = 196, stringID = skull, amount = 1},
ITEM = {slot = 197, stringID = firechalice, amount = 1},
ITEM = {slot = 198, stringID = ivychestplate, amount = 1},
ITEM = {slot = 199, stringID = snowboots, amount = 1},
ITEM = {slot = 200, stringID = rubycluster, amount = 1},
ITEM = {slot = 201, stringID = resistancepotion, amount = 1},
ITEM = {slot = 202, stringID = amberbasaltrock, amount = 1},
ITEM = {slot = 203, stringID = mossymonkstatue, amount = 1},
ITEM = {slot = 204, stringID = trialentrance, amount = 1},
ITEM = {slot = 205, stringID = paintingposter, amount = 1},
ITEM = {slot = 206, stringID = woodfencegate, amount = 1},
ITEM = {slot = 207, stringID = ancientstatue, amount = 1},
ITEM = {slot = 208, stringID = goldchair, amount = 1},
ITEM = {slot = 209, stringID = darkgem, amount = 1},
ITEM = {slot = 210, stringID = deepswamprocktile, amount = 1},
ITEM = {slot = 211, stringID = dryadfloor, amount = 1},
ITEM = {slot = 212, stringID = christmaswreath, amount = 1},
ITEM = {slot = 213, stringID = runeboundhelmet, amount = 1},
ITEM = {slot = 214, stringID = surfacerock, amount = 1},
ITEM = {slot = 215, stringID = ironpickaxe, amount = 1},
ITEM = {slot = 216, stringID = deepsnowstonefloor, amount = 1},
ITEM = {slot = 217, stringID = bambooclock, amount = 1},
ITEM = {slot = 218, stringID = rangerpotion, amount = 1},
ITEM = {slot = 219, stringID = basaltwall, amount = 1},
ITEM = {slot = 220, stringID = boneclock, amount = 1},
ITEM = {slot = 221, stringID = deepsnowstonedoor, amount = 1},
ITEM = {slot = 222, stringID = emptytile, amount = 1},
ITEM = {slot = 223, stringID = ivysword, amount = 1},
ITEM = {slot = 224, stringID = crystallizedskull, amount = 1},
ITEM = {slot = 225, stringID = agedchampionhelmet, amount = 1},
ITEM = {slot = 226, stringID = musicplayer, amount = 1},
ITEM = {slot = 227, stringID = wormtooth, amount = 1},
ITEM = {slot = 228, stringID = swampstonefloor, amount = 1},
ITEM = {slot = 229, stringID = tungstendoublestreetlamp, amount = 1},
ITEM = {slot = 230, stringID = sapphire, amount = 1},
ITEM = {slot = 231, stringID = cookingpot, amount = 1},
ITEM = {slot = 232, stringID = dryadspiritcage, amount = 1},
ITEM = {slot = 233, stringID = emeraldwand, amount = 1},
ITEM = {slot = 234, stringID = prophecyslab, amount = 1},
ITEM = {slot = 235, stringID = bonedesk, amount = 1},
ITEM = {slot = 236, stringID = largefrostbanner, amount = 1},
ITEM = {slot = 237, stringID = rainboots, amount = 1},
ITEM = {slot = 238, stringID = chilipepper, amount = 1},
ITEM = {slot = 239, stringID = graniterock, amount = 1},
ITEM = {slot = 240, stringID = snowcrate, amount = 1},
ITEM = {slot = 241, stringID = widowhelmet, amount = 1},
ITEM = {slot = 242, stringID = bamboo, amount = 1},
ITEM = {slot = 243, stringID = deepswampstonepressureplate, amount = 1},
ITEM = {slot = 244, stringID = dungeoncabinet, amount = 1},
ITEM = {slot = 245, stringID = greaterhealthregenpotion, amount = 1},
ITEM = {slot = 246, stringID = swampstonepathtile, amount = 1},
ITEM = {slot = 247, stringID = deepswampcaverocksmall, amount = 1},
ITEM = {slot = 248, stringID = icejavelin, amount = 1},
ITEM = {slot = 249, stringID = arcanicfloor, amount = 1},
ITEM = {slot = 250, stringID = largedryadbanner, amount = 1},
ITEM = {slot = 251, stringID = arcanicboots, amount = 1},
ITEM = {slot = 252, stringID = sprucedesk, amount = 1},
ITEM = {slot = 253, stringID = dungeonbench, amount = 1},
ITEM = {slot = 254, stringID = ivybar, amount = 1},
ITEM = {slot = 255, stringID = pinedisplay, amount = 1},
ITEM = {slot = 256, stringID = dryadmodulartable, amount = 1},
ITEM = {slot = 257, stringID = brokenherbglassdisplay, amount = 1},
ITEM = {slot = 258, stringID = rottenpigdish, amount = 1},
ITEM = {slot = 259, stringID = arcaniccrate, amount = 1},
ITEM = {slot = 260, stringID = pigstatue, amount = 1},
ITEM = {slot = 261, stringID = swampcandlestandduo, amount = 1},
ITEM = {slot = 262, stringID = swampspore, amount = 1},
ITEM = {slot = 263, stringID = multitool, amount = 1},
ITEM = {slot = 264, stringID = clay, amount = 1},
ITEM = {slot = 265, stringID = oakcandelabra, amount = 1},
ITEM = {slot = 266, stringID = obsidiancolumn, amount = 1},
ITEM = {slot = 267, stringID = srlatchgate, amount = 1},
ITEM = {slot = 268, stringID = oaktoilet, amount = 1},
ITEM = {slot = 269, stringID = recipebook, amount = 1},
ITEM = {slot = 270, stringID = vulturestalon, amount = 1},
ITEM = {slot = 271, stringID = binoculars, amount = 1},
ITEM = {slot = 272, stringID = willowcabinet, amount = 1},
ITEM = {slot = 273, stringID = goldoredeepswamprock, amount = 1},
ITEM = {slot = 274, stringID = chickendrumstick, amount = 1},
ITEM = {slot = 275, stringID = froststone, amount = 1},
ITEM = {slot = 276, stringID = trialexit, amount = 1},
ITEM = {slot = 277, stringID = bonehilt, amount = 1},
ITEM = {slot = 278, stringID = gobfish, amount = 1},
ITEM = {slot = 279, stringID = plagueboots, amount = 1},
ITEM = {slot = 280, stringID = captorsshortbow, amount = 1},
ITEM = {slot = 281, stringID = cabbageseed, amount = 1},
ITEM = {slot = 282, stringID = frozenbeard, amount = 1},
ITEM = {slot = 283, stringID = settlementflag, amount = 1},
ITEM = {slot = 284, stringID = goldaxe, amount = 1},
ITEM = {slot = 285, stringID = horsecostumeshirt, amount = 1},
ITEM = {slot = 286, stringID = runeboundrobe, amount = 1},
ITEM = {slot = 287, stringID = swampsgrasp, amount = 1},
ITEM = {slot = 288, stringID = alchemytable, amount = 1},
ITEM = {slot = 289, stringID = basaltrocktile, amount = 1},
ITEM = {slot = 290, stringID = vulturemask, amount = 1},
ITEM = {slot = 291, stringID = alchemyshardslimerock, amount = 1},
ITEM = {slot = 292, stringID = dryaddisplay, amount = 1},
ITEM = {slot = 293, stringID = runeboundcrown, amount = 1},
ITEM = {slot = 294, stringID = nightsteelveil, amount = 1},
ITEM = {slot = 295, stringID = glacialboomerang, amount = 1},
ITEM = {slot = 296, stringID = goldfishingrod, amount = 1},
ITEM = {slot = 297, stringID = terrorfish, amount = 1},
ITEM = {slot = 298, stringID = glass, amount = 1},
ITEM = {slot = 299, stringID = spiritwatertile, amount = 1},
ITEM = {slot = 300, stringID = deepladderdown, amount = 1},
ITEM = {slot = 301, stringID = paintinglargecastle, amount = 1},
ITEM = {slot = 302, stringID = willowbookshelf, amount = 1},
ITEM = {slot = 303, stringID = sprucebathtub, amount = 1},
ITEM = {slot = 304, stringID = recallscroll, amount = 1},
ITEM = {slot = 305, stringID = paintingcastle, amount = 1},
ITEM = {slot = 306, stringID = plainshedge, amount = 1},
ITEM = {slot = 307, stringID = spiritboard, amount = 1},
ITEM = {slot = 308, stringID = horsemask, amount = 1},
ITEM = {slot = 309, stringID = stonepressureplate, amount = 1},
ITEM = {slot = 310, stringID = blueberrysapling, amount = 1},
ITEM = {slot = 311, stringID = witchshoes, amount = 1},
ITEM = {slot = 312, stringID = leathercarpet, amount = 1},
ITEM = {slot = 313, stringID = battlechefboots, amount = 1},
ITEM = {slot = 314, stringID = orgate, amount = 1},
ITEM = {slot = 315, stringID = tungstenshovel, amount = 1},
ITEM = {slot = 316, stringID = livingshotty, amount = 1},
ITEM = {slot = 317, stringID = willowchest, amount = 1},
ITEM = {slot = 318, stringID = labapron, amount = 1},
ITEM = {slot = 319, stringID = quartzboots, amount = 1},
ITEM = {slot = 320, stringID = banditfencegate, amount = 1},
ITEM = {slot = 321, stringID = paintingbroken, amount = 1},
ITEM = {slot = 322, stringID = frostglaive, amount = 1},
ITEM = {slot = 323, stringID = snowsurfacerocksmall, amount = 1},
ITEM = {slot = 324, stringID = countdownrelay, amount = 1},
ITEM = {slot = 325, stringID = deadwoodtree, amount = 1},
ITEM = {slot = 326, stringID = ancientfossilore, amount = 1},
ITEM = {slot = 327, stringID = snowcaverocksmall, amount = 1},
ITEM = {slot = 328, stringID = copperbar, amount = 1},
ITEM = {slot = 329, stringID = deepspiritswab, amount = 1},
ITEM = {slot = 330, stringID = quartzaxe, amount = 1},
ITEM = {slot = 331, stringID = elderlywand, amount = 1},
ITEM = {slot = 332, stringID = agedchampiongreaves, amount = 1},
ITEM = {slot = 333, stringID = ancientrelics, amount = 1},
ITEM = {slot = 334, stringID = mushroomflower, amount = 1},
ITEM = {slot = 335, stringID = goldoreswamp, amount = 1},
ITEM = {slot = 336, stringID = chainshirt, amount = 1},
ITEM = {slot = 337, stringID = ivycirclet, amount = 1},
ITEM = {slot = 338, stringID = willowdinnertable, amount = 1},
ITEM = {slot = 339, stringID = deadwoodsapling, amount = 1},
ITEM = {slot = 340, stringID = bloodgrimoire, amount = 1},
ITEM = {slot = 341, stringID = cabbage, amount = 1},
ITEM = {slot = 342, stringID = spiderchestplate, amount = 1},
ITEM = {slot = 343, stringID = roastingstation, amount = 1},
ITEM = {slot = 344, stringID = dungeondoor, amount = 1},
ITEM = {slot = 345, stringID = sapphiregravel, amount = 1},
ITEM = {slot = 346, stringID = dragonsouls, amount = 1},
ITEM = {slot = 347, stringID = seasnail, amount = 1},
ITEM = {slot = 348, stringID = deepsandstonearrowtrap, amount = 1},
ITEM = {slot = 349, stringID = palmclock, amount = 1},
ITEM = {slot = 350, stringID = partyhat, amount = 1},
ITEM = {slot = 351, stringID = pirateshirt, amount = 1},
ITEM = {slot = 352, stringID = swimsuit, amount = 1},
ITEM = {slot = 353, stringID = nightsteelbar, amount = 1},
ITEM = {slot = 354, stringID = snowpile3, amount = 1},
ITEM = {slot = 355, stringID = snowpile2, amount = 1},
ITEM = {slot = 356, stringID = snowpile1, amount = 1},
ITEM = {slot = 357, stringID = snowpile0, amount = 1},
ITEM = {slot = 358, stringID = pumpkinseed, amount = 1},
ITEM = {slot = 359, stringID = cavelingscollection, amount = 1},
ITEM = {slot = 360, stringID = accuracypotion, amount = 1},
ITEM = {slot = 361, stringID = blinkscepter, amount = 1},
ITEM = {slot = 362, stringID = minershirt, amount = 1},
ITEM = {slot = 363, stringID = bamboodresser, amount = 1},
ITEM = {slot = 364, stringID = minecart, amount = 1},
ITEM = {slot = 365, stringID = ravenskull, amount = 1},
ITEM = {slot = 366, stringID = myceliumshovel, amount = 1},
ITEM = {slot = 367, stringID = necroticgreatsword, amount = 1},
ITEM = {slot = 368, stringID = deepsandstone, amount = 1},
ITEM = {slot = 369, stringID = voidvessel, amount = 1},
ITEM = {slot = 370, stringID = waystone, amount = 1},
ITEM = {slot = 371, stringID = dryadaxe, amount = 1},
ITEM = {slot = 372, stringID = deadwoodbed, amount = 1},
ITEM = {slot = 373, stringID = greaterfishingpotion, amount = 1},
ITEM = {slot = 374, stringID = minersprosthetic, amount = 1},
ITEM = {slot = 375, stringID = ivyaxe, amount = 1},
ITEM = {slot = 376, stringID = bloodclaw, amount = 1},
ITEM = {slot = 377, stringID = portablemusicplayer, amount = 1},
ITEM = {slot = 378, stringID = quartzgreatsword, amount = 1},
ITEM = {slot = 379, stringID = slimecanister, amount = 1},
ITEM = {slot = 380, stringID = sandstoneflametrap, amount = 1},
ITEM = {slot = 381, stringID = bamboodesk, amount = 1},
ITEM = {slot = 382, stringID = coinstack, amount = 1},
ITEM = {slot = 383, stringID = palmmodulartable, amount = 1},
ITEM = {slot = 384, stringID = oakmodulartable, amount = 1},
ITEM = {slot = 385, stringID = swampstone, amount = 1},
ITEM = {slot = 386, stringID = soulseedboots, amount = 1},
ITEM = {slot = 387, stringID = hulahat, amount = 1},
ITEM = {slot = 388, stringID = swimtrunks, amount = 1},
ITEM = {slot = 389, stringID = bamboodoublebed, amount = 1},
ITEM = {slot = 390, stringID = deepswampgrass, amount = 1},
ITEM = {slot = 391, stringID = brutesbattleaxe, amount = 1},
ITEM = {slot = 392, stringID = magicbranch, amount = 1},
ITEM = {slot = 393, stringID = barrel, amount = 1},
ITEM = {slot = 394, stringID = babyshark, amount = 1},
ITEM = {slot = 395, stringID = chickencostumeboots, amount = 1},
ITEM = {slot = 396, stringID = icecrown, amount = 1},
ITEM = {slot = 397, stringID = shardcannon, amount = 1},
ITEM = {slot = 398, stringID = firemoneseed, amount = 1},
ITEM = {slot = 399, stringID = caverocksmall, amount = 1},
ITEM = {slot = 400, stringID = plainsgrassseed, amount = 1},
ITEM = {slot = 401, stringID = genielamp, amount = 1},
ITEM = {slot = 402, stringID = soldierboots, amount = 1},
ITEM = {slot = 403, stringID = wildmushroom, amount = 1},
ITEM = {slot = 404, stringID = basaltcoffin, amount = 1},
ITEM = {slot = 405, stringID = upgradeshardspiderrock, amount = 1},
ITEM = {slot = 406, stringID = iceblossomseed, amount = 1},
ITEM = {slot = 407, stringID = voidclaw, amount = 1},
ITEM = {slot = 408, stringID = sapphireclustersmall, amount = 1},
ITEM = {slot = 409, stringID = lifequartzdeepsandstonerock, amount = 1},
ITEM = {slot = 410, stringID = obsidianarrowtrap, amount = 1},
ITEM = {slot = 411, stringID = sniperrifle, amount = 1},
ITEM = {slot = 412, stringID = runeboundhornhelmet, amount = 1},
ITEM = {slot = 413, stringID = slimecaverocksmall, amount = 1},
ITEM = {slot = 414, stringID = bamboomodulartable, amount = 1},
ITEM = {slot = 415, stringID = oldchalices, amount = 1},
ITEM = {slot = 416, stringID = cavemaplesapling, amount = 1},
ITEM = {slot = 417, stringID = icepickaxe, amount = 1},
ITEM = {slot = 418, stringID = godbait, amount = 1},
ITEM = {slot = 419, stringID = steelboat, amount = 1},
ITEM = {slot = 420, stringID = goldbar, amount = 1},
ITEM = {slot = 421, stringID = basaltarrowtrap, amount = 1},
ITEM = {slot = 422, stringID = banana, amount = 1},
ITEM = {slot = 423, stringID = bioessence, amount = 1},
ITEM = {slot = 424, stringID = roastedduckbreast, amount = 1},
ITEM = {slot = 425, stringID = birchdesk, amount = 1},
ITEM = {slot = 426, stringID = sprucedresser, amount = 1},
ITEM = {slot = 427, stringID = deepfrostboots, amount = 1},
ITEM = {slot = 428, stringID = graniteflametrap, amount = 1},
ITEM = {slot = 429, stringID = demonicaxe, amount = 1},
ITEM = {slot = 430, stringID = wallbasalttorch, amount = 1},
ITEM = {slot = 431, stringID = eggnest, amount = 1},
ITEM = {slot = 432, stringID = largekeg, amount = 1},
ITEM = {slot = 433, stringID = dryaddesk, amount = 1},
ITEM = {slot = 434, stringID = spideritearrow, amount = 1},
ITEM = {slot = 435, stringID = redpresent, amount = 1},
ITEM = {slot = 436, stringID = animalkeepershoes, amount = 1},
ITEM = {slot = 437, stringID = runeboundskullhelmet, amount = 1},
ITEM = {slot = 438, stringID = ancestorshat, amount = 1},
ITEM = {slot = 439, stringID = pinedoublebed, amount = 1},
ITEM = {slot = 440, stringID = snowstonearrowtrap, amount = 1},
ITEM = {slot = 441, stringID = tungstenore, amount = 1},
ITEM = {slot = 442, stringID = testtubes, amount = 1},
ITEM = {slot = 443, stringID = clothscraps, amount = 1},
ITEM = {slot = 444, stringID = deeprock, amount = 1},
ITEM = {slot = 445, stringID = relicofthedepths, amount = 1},
ITEM = {slot = 446, stringID = engineergoggles, amount = 1},
ITEM = {slot = 447, stringID = glyphtrapbounce, amount = 1},
ITEM = {slot = 448, stringID = firestone, amount = 1},
ITEM = {slot = 449, stringID = goldstreetlamp, amount = 1},
ITEM = {slot = 450, stringID = deepstonebrickfloor, amount = 1},
ITEM = {slot = 451, stringID = teapot, amount = 1},
ITEM = {slot = 452, stringID = irondoublestreetlamp, amount = 1},
ITEM = {slot = 453, stringID = oaksapling, amount = 1},
ITEM = {slot = 454, stringID = eyepatch, amount = 1},
ITEM = {slot = 455, stringID = dawnhelmet, amount = 1},
ITEM = {slot = 456, stringID = mapledresser, amount = 1},
ITEM = {slot = 457, stringID = snowtile, amount = 1},
ITEM = {slot = 458, stringID = lunchbox, amount = 1},
ITEM = {slot = 459, stringID = demonclaw, amount = 1},
ITEM = {slot = 460, stringID = frostaxe, amount = 1},
ITEM = {slot = 461, stringID = woodaxe, amount = 1},
ITEM = {slot = 462, stringID = birchbookshelf, amount = 1},
ITEM = {slot = 463, stringID = willowcandelabra, amount = 1},
